Date,Open,High,Low,Close,Adj Close,Volume
2022-03-23,4412.899902,4448.399902,4361.250000,4386.399902,4381.406738,238711
2022-03-24,4375.000000,4400.000000,4300.000000,4323.149902,4318.228516,136201
2022-03-25,4342.600098,4415.899902,4266.000000,4278.200195,4273.330078,175998
2022-03-28,4299.000000,4299.500000,4041.350098,4174.350098,4169.598145,327200
2022-03-29,4177.000000,4339.250000,4177.000000,4232.850098,4228.031738,425450
2022-03-30,4288.000000,4384.000000,4265.549805,4366.299805,4361.329102,293916
2022-03-31,4370.000000,4383.950195,4291.000000,4308.799805,4303.895020,257765
2022-04-01,4332.350098,4398.950195,4311.049805,4361.000000,4356.035645,179079
2022-04-04,4389.350098,4435.000000,4364.600098,4404.350098,4399.336426,165167
2022-04-05,4425.000000,4690.000000,4411.000000,4638.700195,4633.419922,730562
2022-04-06,4631.000000,4658.100098,4566.750000,4592.350098,4587.122559,324809
2022-04-07,4579.500000,4584.950195,4450.000000,4463.399902,4458.318848,284085
2022-04-08,4460.000000,4555.000000,4460.000000,4475.750000,4470.654785,186775
2022-04-11,4475.750000,4476.000000,4375.000000,4416.350098,4411.322754,193326
2022-04-12,4405.049805,4409.950195,4315.549805,4347.000000,4342.051270,176685
2022-04-13,4360.000000,4485.250000,4360.000000,4431.850098,4426.805176,329016
2022-04-18,4400.000000,4400.000000,4285.200195,4308.899902,4303.995117,205431
2022-04-19,4340.000000,4374.000000,4143.500000,4197.000000,4192.222656,201974
2022-04-20,4229.950195,4275.950195,4163.149902,4221.100098,4216.294922,186501
2022-04-21,4271.000000,4308.700195,4241.649902,4294.649902,4289.761230,128861
2022-04-22,4250.000000,4325.799805,4250.000000,4298.600098,4293.707031,184339
2022-04-25,4270.000000,4337.399902,4229.950195,4312.950195,4308.040527,177251
2022-04-26,4344.950195,4389.000000,4312.950195,4340.250000,4335.309082,117135
2022-04-27,4310.000000,4350.000000,4255.549805,4314.950195,4310.038086,142412
2022-04-28,4325.950195,4384.000000,4299.750000,4371.250000,4366.273926,175712
2022-04-29,4398.850098,4424.149902,4356.200195,4396.250000,4391.245605,157562
2022-05-02,4211.000000,4267.649902,3967.850098,3994.850098,3990.302490,1459355
2022-05-04,4001.000000,4105.500000,3780.000000,3810.449951,3806.112305,1013739
2022-05-05,3860.000000,3994.699951,3821.000000,3949.550049,3945.053955,573084
2022-05-06,3850.000000,3997.000000,3765.199951,3909.600098,3905.149414,634087
2022-05-09,3890.000000,3933.100098,3766.000000,3824.250000,3819.896729,315873
2022-05-10,3810.000000,3850.000000,3547.300049,3680.100098,3675.910889,907244
2022-05-11,3700.000000,3747.600098,3400.000000,3511.800049,3507.802246,882549
2022-05-12,3494.949951,3509.949951,3303.149902,3401.100098,3397.228516,744515
2022-05-13,3450.000000,3484.949951,3255.000000,3371.399902,3367.562012,1067906
2022-05-16,3403.000000,3425.000000,3180.550049,3342.899902,3339.094482,702758
2022-05-17,3321.000000,3517.949951,3321.000000,3489.100098,3485.128174,456449
2022-05-18,3540.100098,3575.000000,3452.649902,3504.399902,3500.410645,378778
2022-05-19,3397.000000,3455.000000,3361.050049,3379.250000,3375.403076,214503
2022-05-20,3419.000000,3475.000000,3385.899902,3428.149902,3424.247314,184764
2022-05-23,3440.000000,3542.000000,3417.600098,3508.899902,3504.905518,203098
2022-05-24,3500.000000,3526.600098,3429.550049,3448.000000,3444.074951,165109
2022-05-25,3448.000000,3463.850098,3277.050049,3345.199951,3341.391846,376745
2022-05-26,3385.000000,3399.000000,3268.050049,3364.649902,3360.819580,239255
2022-05-27,3399.000000,3505.000000,3395.000000,3421.149902,3417.255371,153798
2022-05-30,3484.000000,3883.600098,3460.000000,3804.050049,3799.719727,1009276
2022-05-31,3730.000000,3966.000000,3636.100098,3858.699951,3854.307373,1320520
2022-06-01,3885.100098,3944.399902,3846.600098,3892.300049,3887.869141,312767
2022-06-02,3887.000000,3940.000000,3830.000000,3918.300049,3913.839600,258655
2022-06-03,3952.000000,3994.300049,3545.350098,3644.449951,3640.301270,594428
2022-06-06,3690.000000,3727.899902,3537.350098,3669.199951,3665.022949,518160
2022-06-07,3669.199951,3669.949951,3570.350098,3617.600098,3613.481934,244438
2022-06-08,3630.000000,3683.000000,3550.149902,3592.949951,3588.859863,257182
2022-06-09,3555.000000,3642.000000,3550.000000,3610.199951,3606.090332,140315
2022-06-10,3555.000000,3623.899902,3555.000000,3609.250000,3605.141357,130776
